Plot,Year,Tree,Browsed,SummerBrowse,New,Height,CAG,DBH,Laser
6,1999,22,0,,0,40,,,
6,1999,23,0,,0,22,,,
6,1999,24,0,,0,52,,,
6,1999,25,0,,0,25,,,
6,1999,26,0,,0,19,,,
6,1999,27,0,,0,24,,,
6,1999,28,0,,0,44,,,
6,1999,29,0,,0,32,,,
6,1999,30,,,1,48,,,
6,1999,31,,,1,35,,,
6,1999,32,,,1,21,,,
6,1999,33,,,1,24,,,
6,1999,34,,,1,17,,,
6,1999,35,,,1,30,,,
6,1999,36,,,1,23,,,
6,1999,37,,,1,38,,,
6,1999,38,,,1,24,,,
6,1999,39,,,1,13,,,
6,1999,40,,,1,36,,,
6,1999,41,,,1,35,,,
6,1999,42,,,1,15,,,
6,1999,43,,,1,37,,,
6,1999,44,,,1,18,,,
6,1999,45,,,1,11,,,
6,1999,46,,,1,18,,,
6,1999,47,,,1,18,,,
6,1999,48,,,1,22,,,
6,1999,49,,,1,44,,,
7,1999,1,1,,0,43,,,
7,1999,2,1,,0,34,,,
7,1999,3,1,,0,22,,,
7,1999,4,,,1,26,,,
8,1999,1,1,,0,45,,,
8,1999,2,1,,0,29,,,
8,1999,3,0,,0,64,,,
8,1999,4,,,1,37,,,
9,1999,0,,,,,,,
10,1999,1,1,,0,36,,,
10,1999,2,1,,0,32,,,
10,1999,3,1,,0,44,,,
10,1999,4,1,,0,61,,,
10,1999,5,1,,0,65,,,
10,1999,6,1,,0,58,,,
10,1999,7,1,,0,60,,,
10,1999,8,1,,0,58,,,
10,1999,9,1,,0,34,,,
10,1999,10,1,,0,40,,,
10,1999,11,1,,0,52,,,
10,1999,12,1,,0,29,,,
10,1999,13,1,,0,29,,,
10,1999,14,1,,0,72,,,
10,1999,15,1,,0,36,,,
10,1999,16,1,,0,25,,,
10,1999,17,1,,0,17,,,
10,1999,18,1,,0,36,,,
10,1999,19,1,,0,58,,,
10,1999,20,1,,0,19,,,
10,1999,21,1,,0,18,,,
10,1999,22,1,,0,29,,,
10,1999,23,1,,0,26,,,
10,1999,24,1,,0,40,,,
10,1999,25,1,,0,29,,,
10,1999,26,1,,0,26,,,
10,1999,27,1,,0,49,,,
10,1999,28,0,,0,27,,,
10,1999,29,0,,0,29,,,
10,1999,30,0,,0,45,,,
10,1999,31,,,1,34,,,
10,1999,32,,,1,55,,,
10,1999,33,,,1,23,,,
10,1999,34,,,1,24,,,
10,1999,35,,,1,55,,,
10,1999,36,,,1,18,,,
10,1999,37,,,1,19,,,
10,1999,38,,,1,10,,,
10,1999,39,,,1,14,,,
10,1999,40,,,1,49,,,
10,1999,41,,,1,21,,,
10,1999,42,,,1,22,,,
10,1999,43,,,1,48,,,
10,1999,44,,,1,20,,,
10,1999,45,,,1,24,,,
10,1999,46,,,1,18,,,
11,1999,1,1,,0,73,,,
11,1999,2,1,,0,47,,,
11,1999,3,1,,0,56,,,
11,1999,4,1,,0,27,,,
11,1999,5,1,,0,59,,,
11,1999,6,1,,0,80,,,
11,1999,7,1,,0,41,,,
11,1999,8,1,,0,44,,,
11,1999,9,1,,0,31,,,
11,1999,10,1,,0,28,,,
11,1999,11,1,,0,39,,,
11,1999,12,1,,0,37,,,
11,1999,13,1,,0,61,,,
11,1999,14,1,,0,29,,,
11,1999,15,1,,0,83,,,
11,1999,16,1,,0,49,,,
11,1999,17,1,,0,65,,,
11,1999,18,1,,0,48,,,
11,1999,19,1,,0,41,,,
11,1999,20,1,,0,30,,,
11,1999,21,1,,0,55,,,
11,1999,22,1,,0,55,,,
11,1999,23,1,,0,56,,,
11,1999,24,1,,0,72,,,
11,1999,25,1,,0,46,,,
11,1999,26,1,,0,27,,,
11,1999,27,1,,0,54,,,
11,1999,28,1,,0,29,,,
11,1999,29,1,,0,50,,,
11,1999,30,1,,0,45,,,
11,1999,31,1,,0,44,,,
11,1999,32,1,,0,35,,,
11,1999,33,1,,0,38,,,
11,1999,34,0,,0,27,,,
11,1999,35,0,,0,39,,,
11,1999,36,0,,0,24,,,
11,1999,37,0,,0,19,,,
11,1999,38,0,,0,37,,,
11,1999,39,0,,0,57,,,
11,1999,40,,,1,29,,,
11,1999,41,,,1,28,,,
11,1999,42,,,1,33,,,
11,1999,43,,,1,58,,,
11,1999,44,,,1,41,,,
11,1999,45,,,1,52,,,
11,1999,46,,,1,58,,,
11,1999,47,,,1,49,,,
11,1999,48,,,1,35,,,
11,1999,49,,,1,67,,,
11,1999,50,,,1,13,,,
11,1999,51,,,1,23,,,
11,1999,52,,,1,47,,,
12,1999,1,1,,0,42,,,
12,1999,2,0,,0,59,,,
12,1999,3,0,,0,35,,,
12,1999,4,,,1,25,,,
12,1999,5,,,1,48,,,
13,1999,1,1,,0,47,,,
13,1999,2,1,,0,74,,,
13,1999,3,1,,0,59,,,
13,1999,4,1,,0,40,,,
13,1999,5,1,,0,61,,,
13,1999,6,1,,0,40,,,
13,1999,7,1,,0,55,,,
13,1999,8,1,,0,56,,,
13,1999,9,1,,0,72,,,
13,1999,10,1,,0,59,,,
13,1999,11,1,,0,77,,,
13,1999,12,0,,0,44,,,
13,1999,13,0,,0,17,,,
13,1999,14,0,,0,12,,,
13,1999,15,0,,0,15,,,
13,1999,16,0,,0,35,,,
13,1999,17,0,,0,28,,,
13,1999,18,0,,0,78,,,
13,1999,19,0,,0,42,,,
14,1999,1,1,,0,67,,,
14,1999,2,1,,0,77,,,
14,1999,3,1,,0,53,,,
14,1999,4,1,,0,41,,,
14,1999,5,1,,0,29,,,
14,1999,6,1,,0,51,,,
14,1999,7,1,,0,45,,,
14,1999,8,1,,0,40,,,
14,1999,9,1,,0,41,,,
14,1999,10,1,,0,58,,,
14,1999,11,1,,0,39,,,
14,1999,12,1,,0,32,,,
14,1999,13,1,,0,44,,,
14,1999,14,1,,0,71,,,
14,1999,15,1,,0,59,,,
14,1999,16,1,,0,41,,,
14,1999,17,1,,0,42,,,
14,1999,18,1,,0,52,,,
14,1999,19,1,,0,40,,,
14,1999,20,1,,0,56,,,
14,1999,21,1,,0,39,,,
14,1999,22,1,,0,57,,,
14,1999,23,1,,0,48,,,
14,1999,24,1,,0,11,,,
14,1999,25,1,,0,62,,,
14,1999,26,1,,0,57,,,
14,1999,27,1,,0,36,,,
14,1999,28,1,,0,25,,,
14,1999,29,1,,0,30,,,
14,1999,30,1,,0,35,,,
14,1999,31,1,,0,63,,,
14,1999,32,1,,0,34,,,
14,1999,33,1,,0,48,,,
14,1999,34,1,,0,40,,,
14,1999,35,0,,0,27,,,
14,1999,36,0,,0,38,,,
14,1999,37,0,,0,49,,,
14,1999,38,,,1,39,,,
14,1999,39,,,1,7,,,
14,1999,40,,,1,84,,,
14,1999,41,,,1,45,,,
14,1999,42,,,1,57,,,
14,1999,43,,,1,44,,,
14,1999,44,,,1,43,,,
14,1999,45,,,1,35,,,
14,1999,46,,,1,39,,,
14,1999,47,,,1,40,,,
14,1999,48,,,1,47,,,
14,1999,49,,,1,57,,,
14,1999,50,,,1,64,,,
14,1999,51,,,1,29,,,
14,1999,52,,,1,41,,,
14,1999,53,,,1,35,,,
14,1999,54,,,1,41,,,
14,1999,55,,,1,14,,,
14,1999,56,,,1,6,,,
14,1999,57,,,1,18,,,
14,1999,58,,,1,56,,,
14,1999,59,,,1,41,,,
14,1999,60,,,1,14,,,
14,1999,61,,,1,23,,,
14,1999,62,,,1,22,,,
14,1999,63,,,1,5,,,
14,1999,64,,,1,7,,,
14,1999,65,,,1,11,,,
14,1999,66,,,1,13,,,
14,1999,67,,,1,14,,,
14,1999,68,,,1,17,,,
14,1999,69,,,1,27,,,
14,1999,70,,,1,29,,,
14,1999,71,,,1,30,,,
14,1999,72,,,1,38,,,
14,1999,73,,,1,31,,,
14,1999,74,,,1,40,,,
14,1999,75,,,1,20,,,
14,1999,76,,,1,12,,,
14,1999,77,,,1,9,,,
14,1999,78,,,1,4,,,
14,1999,79,,,1,10,,,
14,1999,80,,,1,22,,,
14,1999,81,,,1,45,,,
15,1999,1,1,,0,13,,,
15,1999,2,,,1,35,,,
15,1999,3,,,1,38,,,
15,1999,4,,,1,15,,,
16,1999,1,1,,0,14,,,
16,1999,2,1,,0,20,,,
16,1999,3,1,,0,9,,,
16,1999,4,1,,0,14,,,
16,1999,5,1,,0,14,,,
16,1999,6,0,,0,13,,,
16,1999,7,0,,0,13,,,
16,1999,8,,,1,7,,,
17,1999,1,1,,0,39,,,
17,1999,2,1,,0,37,,,
17,1999,3,1,,0,55,,,
17,1999,4,1,,0,48,,,
17,1999,5,1,,0,32,,,
17,1999,6,1,,0,31,,,
17,1999,7,0,,0,66,,,
17,1999,8,,,1,39,,,
17,1999,9,,,1,58,,,
17,1999,10,,,1,65,,,
17,1999,11,,,1,20,,,
17,1999,12,,,1,43,,,
17,1999,13,,,1,15,,,
17,1999,14,,,1,48,,,
18,1999,1,1,,0,21,,,
18,1999,2,1,,0,33,,,
18,1999,3,1,,0,36,,,
18,1999,4,1,,0,19,,,
18,1999,5,1,,0,33,,,
18,1999,6,1,,0,27,,,
18,1999,7,1,,0,26,,,
18,1999,8,1,,0,24,,,
18,1999,9,1,,0,22,,,
18,1999,10,1,,0,21,,,
18,1999,11,1,,0,28,,,
18,1999,12,1,,0,34,,,
18,1999,13,1,,0,36,,,
18,1999,14,1,,0,33,,,
18,1999,15,1,,0,73,,,
18,1999,16,1,,0,14,,,
18,1999,17,1,,0,17,,,
18,1999,18,1,,0,17,,,
18,1999,19,,,1,24,,,
18,1999,20,,,1,13,,,
18,1999,21,,,1,23,,,
18,1999,22,,,1,22,,,
18,1999,23,,,1,25,,,
18,1999,24,,,1,21,,,
18,1999,25,,,1,39,,,
19,1999,1,0,,0,47,,,
20,1999,1,1,,0,31,,,
20,1999,2,1,,0,42,,,
20,1999,3,1,,0,42,,,
20,1999,4,0,,0,39,,,
20,1999,5,0,,0,26,,,
20,1999,6,0,,0,18,,,
20,1999,7,0,,0,33,,,
20,1999,8,0,,0,36,,,
20,1999,9,0,,0,32,,,
20,1999,10,0,,0,26,,,
20,1999,11,0,,0,15,,,
20,1999,12,0,,0,14,,,
20,1999,13,0,,0,23,,,
20,1999,14,0,,0,33,,,
20,1999,15,0,,0,32,,,
20,1999,16,0,,0,36,,,
20,1999,17,0,,0,25,,,
20,1999,18,0,,0,11,,,
20,1999,19,0,,0,39,,,
20,1999,20,0,,0,40,,,
20,1999,21,0,,0,35,,,
20,1999,22,0,,0,25,,,
20,1999,23,0,,0,29,,,
21,1999,1,1,,0,48,,,
21,1999,2,1,,0,34,,,
21,1999,3,1,,0,35,,,
21,1999,4,1,,0,32,,,
21,1999,5,1,,0,47,,,
21,1999,6,1,,0,62,,,
21,1999,7,1,,0,27,,,
21,1999,8,1,,0,25,,,
21,1999,9,1,,0,38,,,
21,1999,10,1,,0,29,,,
21,1999,11,1,,0,27,,,
21,1999,12,1,,0,42,,,
